---
title: Model Properties Table
hide-toc: true
---
# Model Properties Table

also see the [interactive model table](../_static/model_properties_table_interactive.html)
| name.default_alias                    | name.huggingface                                                                                                            | n_params.as_str   |   n_params.as_int |   cfg.n_params |   cfg.n_layers |   cfg.n_heads |   cfg.d_model |   cfg.d_vocab | cfg.act_fn        | cfg.positional_embedding_type   | cfg.parallel_attn_mlp   | cfg.original_architecture      | cfg.normalization_type   | tokenizer.name                              | tokenizer.class         | tokenizer.vocab_size   | tokenizer.vocab_hash         |
| stablelm-tuned-alpha-7b               | [stabilityai/stablelm-tuned-alpha-7b](https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b)                           | 7.2B              |        7247757312 |     7247757312 |             16 |            48 |          6144 |         50432 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | stabilityai/stablelm-tuned-alpha-7b         | GPTNeoXTokenizerFast    | 50254.0                | RD3vcWSd_TiTpqo5dHyICzaXtGQ= |
| mistral-7b                            | [mistralai/Mistral-7B-v0.1](https://huggingface.co/mistralai/Mistral-7B-v0.1)                                               | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | MistralForCausalLM             | RMS                      | mistralai/Mistral-7B-v0.1                   | LlamaTokenizerFast      | 32000.0                | kkCQxUk-PF9Ay_ZKDdKCh02YaGQ= |
| mistral-7b-instruct                   | [mistralai/Mistral-7B-Instruct-v0.1](https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1)                             | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | MistralForCausalLM             | RMS                      | mistralai/Mistral-7B-Instruct-v0.1          | LlamaTokenizerFast      | 32000.0                | kkCQxUk-PF9Ay_ZKDdKCh02YaGQ= |
| mistralai/Mistral-Small-24B-Base-2501 |                                                                                                                             | 23B               |       23488102400 |    23488102400 |             40 |            32 |          5120 |        131072 | silu              | rotary                          | False                   | MistralForCausalLM             | RMS                      | mistralai/Mistral-Small-24B-Base-2501       | LlamaTokenizerFast      | 131072.0               | GEwgZayWxpmhQxtMq-WrVFJEfqM= |
| mistral-nemo-base-2407                | [mistralai/Mistral-Nemo-Base-2407](https://huggingface.co/mistralai/Mistral-Nemo-Base-2407)                                 | 12B               |       12163481600 |    12163481600 |             40 |            32 |          5120 |        131072 | silu              | rotary                          | False                   | MistralForCausalLM             | RMS                      | mistralai/Mistral-Nemo-Base-2407            | PreTrainedTokenizerFast | 131072.0               | 0xs_eSvVgsyZGbcLSIpGUn4Gdms= |
| mixtral                               | [mistralai/Mixtral-8x7B-v0.1](https://huggingface.co/mistralai/Mixtral-8x7B-v0.1)                                           | 47B               |       47245688832 |    47245688832 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | MixtralForCausalLM             | RMS                      | mistralai/Mixtral-8x7B-v0.1                 | LlamaTokenizerFast      | 32000.0                | kkCQxUk-PF9Ay_ZKDdKCh02YaGQ= |
| mixtral-instruct                      | [mistralai/Mixtral-8x7B-Instruct-v0.1](https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1)                         | 47B               |       47245688832 |    47245688832 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | MixtralForCausalLM             | RMS                      | mistralai/Mixtral-8x7B-Instruct-v0.1        | LlamaTokenizerFast      | 32000.0                | kkCQxUk-PF9Ay_ZKDdKCh02YaGQ= |
| gpt-oss-20b                           | [openai/gpt-oss-20b](https://huggingface.co/openai/gpt-oss-20b)                                                             | 20B               |       20244971520 |    20244971520 |             24 |            64 |          2880 |        201088 | silu              | rotary                          | False                   | GptOssForCausalLM              | RMS                      | openai/gpt-oss-20b                          | PreTrainedTokenizerFast | 199998.0               | c9AMJHU0SnHAXwla61AkYA78n-w= |
| bloom-560m                            | [bigscience/bloom-560m](https://huggingface.co/bigscience/bloom-560m)                                                       | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |        250880 | gelu_fast         | alibi                           | False                   | BloomForCausalLM               | LN                       | bigscience/bloom-560m                       | BloomTokenizerFast      | 250680.0               | OO9NZoesMCpWsijo1O2DAbq9GqI= |
| bloom-1b1                             | [bigscience/bloom-1b1](https://huggingface.co/bigscience/bloom-1b1)                                                         | 679M              |         679477248 |      679477248 |             24 |            16 |          1536 |        250880 | gelu_fast         | alibi                           | False                   | BloomForCausalLM               | LN                       | bigscience/bloom-1b1                        | BloomTokenizerFast      | 250680.0               | OO9NZoesMCpWsijo1O2DAbq9GqI= |
| bloom-1b7                             | [bigscience/bloom-1b7](https://huggingface.co/bigscience/bloom-1b7)                                                         | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |        250880 | gelu_fast         | alibi                           | False                   | BloomForCausalLM               | LN                       | bigscience/bloom-1b7                        | BloomTokenizerFast      | 250680.0               | OO9NZoesMCpWsijo1O2DAbq9GqI= |
| bloom-3b                              | [bigscience/bloom-3b](https://huggingface.co/bigscience/bloom-3b)                                                           | 2.4B              |        2359296000 |     2359296000 |             30 |            32 |          2560 |        250880 | gelu_fast         | alibi                           | False                   | BloomForCausalLM               | LN                       | bigscience/bloom-3b                         | BloomTokenizerFast      | 250680.0               | OO9NZoesMCpWsijo1O2DAbq9GqI= |
| bloom-7b1                             | [bigscience/bloom-7b1](https://huggingface.co/bigscience/bloom-7b1)                                                         | 6.0B              |        6039797760 |     6039797760 |             30 |            32 |          4096 |        250880 | gelu_fast         | alibi                           | False                   | BloomForCausalLM               | LN                       | bigscience/bloom-7b1                        | BloomTokenizerFast      | 250680.0               | OO9NZoesMCpWsijo1O2DAbq9GqI= |
| santacoder                            | [bigcode/santacoder](https://huggingface.co/bigcode/santacoder)                                                             | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |         49280 | gelu_fast         | standard                        | False                   | GPT2LMHeadCustomModel          | LN                       | bigcode/santacoder                          | GPT2TokenizerFast       | 49152.0                | GiKC-dU7fpR4sGNkpwn7JKK6qys= |
| qwen-1.8b                             | [Qwen/Qwen-1_8B](https://huggingface.co/Qwen/Qwen-1_8B)                                                                     | 1.2B              |        1214251008 |     1214251008 |             24 |            16 |          2048 |        151936 | silu              | rotary                          | False                   | QWenLMHeadModel                | RMS                      | Qwen/Qwen-1_8B                              | QWenTokenizer           | 151851.0               | LXUZBV-DGPX2Ty50XH848Cn_umU= |
| qwen-7b                               | [Qwen/Qwen-7B](https://huggingface.co/Qwen/Qwen-7B)                                                                         | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |        151936 | silu              | rotary                          | False                   | QWenLMHeadModel                | RMS                      | Qwen/Qwen-7B                                | QWenTokenizer           | 151851.0               | LXUZBV-DGPX2Ty50XH848Cn_umU= |
| qwen-14b                              | [Qwen/Qwen-14B](https://huggingface.co/Qwen/Qwen-14B)                                                                       | 13B               |       12609126400 |    12609126400 |             40 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | QWenLMHeadModel                | RMS                      | Qwen/Qwen-14B                               | QWenTokenizer           | 151851.0               | LXUZBV-DGPX2Ty50XH848Cn_umU= |
| qwen-1.8b-chat                        | [Qwen/Qwen-1_8B-Chat](https://huggingface.co/Qwen/Qwen-1_8B-Chat)                                                           | 1.2B              |        1214251008 |     1214251008 |             24 |            16 |          2048 |        151936 | silu              | rotary                          | False                   | QWenLMHeadModel                | RMS                      | Qwen/Qwen-1_8B-Chat                         | QWenTokenizer           | 151851.0               | LXUZBV-DGPX2Ty50XH848Cn_umU= |
| qwen-7b-chat                          | [Qwen/Qwen-7B-Chat](https://huggingface.co/Qwen/Qwen-7B-Chat)                                                               | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |        151936 | silu              | rotary                          | False                   | QWenLMHeadModel                | RMS                      | Qwen/Qwen-7B-Chat                           | QWenTokenizer           | 151851.0               | LXUZBV-DGPX2Ty50XH848Cn_umU= |
| qwen-14b-chat                         | [Qwen/Qwen-14B-Chat](https://huggingface.co/Qwen/Qwen-14B-Chat)                                                             | 13B               |       12609126400 |    12609126400 |             40 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | QWenLMHeadModel                | RMS                      | Qwen/Qwen-14B-Chat                          | QWenTokenizer           | 151851.0               | LXUZBV-DGPX2Ty50XH848Cn_umU= |
| qwen1.5-0.5b                          | [Qwen/Qwen1.5-0.5B](https://huggingface.co/Qwen/Qwen1.5-0.5B)                                                               | 308M              |         308281344 |      308281344 |             24 |            16 |          1024 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-0.5B                           | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-0.5b-chat                     | [Qwen/Qwen1.5-0.5B-Chat](https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat)                                                     | 308M              |         308281344 |      308281344 |             24 |            16 |          1024 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-0.5B-Chat                      | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-1.8b                          | [Qwen/Qwen1.5-1.8B](https://huggingface.co/Qwen/Qwen1.5-1.8B)                                                               | 1.2B              |        1214251008 |     1214251008 |             24 |            16 |          2048 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-1.8B                           | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-1.8b-chat                     | [Qwen/Qwen1.5-1.8B-Chat](https://huggingface.co/Qwen/Qwen1.5-1.8B-Chat)                                                     | 1.2B              |        1214251008 |     1214251008 |             24 |            16 |          2048 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-1.8B-Chat                      | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-4b                            | [Qwen/Qwen1.5-4B](https://huggingface.co/Qwen/Qwen1.5-4B)                                                                   | 3.2B              |        3171942400 |     3171942400 |             40 |            20 |          2560 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-4B                             | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-4b-chat                       | [Qwen/Qwen1.5-4B-Chat](https://huggingface.co/Qwen/Qwen1.5-4B-Chat)                                                         | 3.2B              |        3171942400 |     3171942400 |             40 |            20 |          2560 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-4B-Chat                        | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-7b                            | [Qwen/Qwen1.5-7B](https://huggingface.co/Qwen/Qwen1.5-7B)                                                                   | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-7B                             | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-7b-chat                       | [Qwen/Qwen1.5-7B-Chat](https://huggingface.co/Qwen/Qwen1.5-7B-Chat)                                                         | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-7B-Chat                        | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-14b                           | [Qwen/Qwen1.5-14B](https://huggingface.co/Qwen/Qwen1.5-14B)                                                                 | 13B               |       12609126400 |    12609126400 |             40 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-14B                            | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen1.5-14b-chat                      | [Qwen/Qwen1.5-14B-Chat](https://huggingface.co/Qwen/Qwen1.5-14B-Chat)                                                       | 13B               |       12609126400 |    12609126400 |             40 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen1.5-14B-Chat                       | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen2-0.5b                            | [Qwen/Qwen2-0.5B](https://huggingface.co/Qwen/Qwen2-0.5B)                                                                   | 391M              |         390856704 |      390856704 |             24 |            14 |           896 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2-0.5B                             | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen2-0.5b-instruct                   | [Qwen/Qwen2-0.5B-Instruct](https://huggingface.co/Qwen/Qwen2-0.5B-Instruct)                                                 | 391M              |         390856704 |      390856704 |             24 |            14 |           896 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2-0.5B-Instruct                    | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen2-1.5b                            | [Qwen/Qwen2-1.5B](https://huggingface.co/Qwen/Qwen2-1.5B)                                                                   | 1.4B              |        1420296192 |     1420296192 |             28 |            12 |          1536 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2-1.5B                             | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen2-1.5b-instruct                   | [Qwen/Qwen2-1.5B-Instruct](https://huggingface.co/Qwen/Qwen2-1.5B-Instruct)                                                 | 1.4B              |        1420296192 |     1420296192 |             28 |            12 |          1536 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2-1.5B-Instruct                    | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen2-7b                              | [Qwen/Qwen2-7B](https://huggingface.co/Qwen/Qwen2-7B)                                                                       | 7.1B              |        7141851136 |     7141851136 |             28 |            28 |          3584 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2-7B                               | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen2-7b-instruct                     | [Qwen/Qwen2-7B-Instruct](https://huggingface.co/Qwen/Qwen2-7B-Instruct)                                                     | 7.1B              |        7141851136 |     7141851136 |             28 |            28 |          3584 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2-7B-Instruct                      | Qwen2TokenizerFast      | 151643.0               | vakQOjPaHpZ23kxcqX0tTXi2EzQ= |
| qwen2.5-0.5b                          | [Qwen/Qwen2.5-0.5B](https://huggingface.co/Qwen/Qwen2.5-0.5B)                                                               | 391M              |         390856704 |      390856704 |             24 |            14 |           896 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-0.5B                           | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-0.5b-instruct                 | [Qwen/Qwen2.5-0.5B-Instruct](https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct)                                             | 391M              |         390856704 |      390856704 |             24 |            14 |           896 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-0.5B-Instruct                  | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-1.5b                          | [Qwen/Qwen2.5-1.5B](https://huggingface.co/Qwen/Qwen2.5-1.5B)                                                               | 1.4B              |        1420296192 |     1420296192 |             28 |            12 |          1536 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-1.5B                           | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-1.5b-instruct                 | [Qwen/Qwen2.5-1.5B-Instruct](https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct)                                             | 1.4B              |        1420296192 |     1420296192 |             28 |            12 |          1536 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-1.5B-Instruct                  | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-3b                            | [Qwen/Qwen2.5-3B](https://huggingface.co/Qwen/Qwen2.5-3B)                                                                   | 3.0B              |        3038773248 |     3038773248 |             36 |            16 |          2048 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-3B                             | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-3b-instruct                   | [Qwen/Qwen2.5-3B-Instruct](https://huggingface.co/Qwen/Qwen2.5-3B-Instruct)                                                 | 3.0B              |        3038773248 |     3038773248 |             36 |            16 |          2048 |        151936 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-3B-Instruct                    | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-7b                            | [Qwen/Qwen2.5-7B](https://huggingface.co/Qwen/Qwen2.5-7B)                                                                   | 7.1B              |        7141851136 |     7141851136 |             28 |            28 |          3584 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-7B                             | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-7b-instruct                   | [Qwen/Qwen2.5-7B-Instruct](https://huggingface.co/Qwen/Qwen2.5-7B-Instruct)                                                 | 7.1B              |        7141851136 |     7141851136 |             28 |            28 |          3584 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-7B-Instruct                    | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-14b                           | [Qwen/Qwen2.5-14B](https://huggingface.co/Qwen/Qwen2.5-14B)                                                                 | 15B               |       15225323520 |    15225323520 |             48 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-14B                            | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-14b-instruct                  | [Qwen/Qwen2.5-14B-Instruct](https://huggingface.co/Qwen/Qwen2.5-14B-Instruct)                                               | 15B               |       15225323520 |    15225323520 |             48 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-14B-Instruct                   | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-32b                           | [Qwen/Qwen2.5-32B](https://huggingface.co/Qwen/Qwen2.5-32B)                                                                 | 34B               |       33889976320 |    33889976320 |             64 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-32B                            | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-32b-instruct                  | [Qwen/Qwen2.5-32B-Instruct](https://huggingface.co/Qwen/Qwen2.5-32B-Instruct)                                               | 34B               |       33889976320 |    33889976320 |             64 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-32B-Instruct                   | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-72b                           | [Qwen/Qwen2.5-72B](https://huggingface.co/Qwen/Qwen2.5-72B)                                                                 | 80B               |       79607889920 |    79607889920 |             80 |            64 |          8192 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-72B                            | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen2.5-72b-instruct                  | [Qwen/Qwen2.5-72B-Instruct](https://huggingface.co/Qwen/Qwen2.5-72B-Instruct)                                               | 80B               |       79607889920 |    79607889920 |             80 |            64 |          8192 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/Qwen2.5-72B-Instruct                   | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen-32b-preview                      | [Qwen/QwQ-32B-Preview](https://huggingface.co/Qwen/QwQ-32B-Preview)                                                         | 34B               |       33889976320 |    33889976320 |             64 |            40 |          5120 |        152064 | silu              | rotary                          | False                   | Qwen2ForCausalLM               | RMS                      | Qwen/QwQ-32B-Preview                        | Qwen2TokenizerFast      | 151643.0               | NI384GYDfJidzgXg_-9habj8lOk= |
| qwen3-0.6b                            | [Qwen/Qwen3-0.6B](https://huggingface.co/Qwen/Qwen3-0.6B)                                                                   | 499M              |         499122176 |      499122176 |             28 |            16 |          1024 |        151936 | silu              | rotary                          | False                   | Qwen3ForCausalLM               | RMS                      | Qwen/Qwen3-0.6B                             | Qwen2TokenizerFast      | 151643.0               | OfOK7SjmrN4KFUqlDylX-Up77SM= |
| qwen3-0.6b-base                       | [Qwen/Qwen3-0.6B-Base](https://huggingface.co/Qwen/Qwen3-0.6B-Base)                                                         | 499M              |         499122176 |      499122176 |             28 |            16 |          1024 |        151936 | silu              | rotary                          | False                   | Qwen3ForCausalLM               | RMS                      | Qwen/Qwen3-0.6B-Base                        | Qwen2TokenizerFast      | 151643.0               | OfOK7SjmrN4KFUqlDylX-Up77SM= |
| qwen3-1.7b                            | [Qwen/Qwen3-1.7B](https://huggingface.co/Qwen/Qwen3-1.7B)                                                                   | 1.5B              |        1526726656 |     1526726656 |             28 |            16 |          2048 |        151936 | silu              | rotary                          | False                   | Qwen3ForCausalLM               | RMS                      | Qwen/Qwen3-1.7B                             | Qwen2TokenizerFast      | 151643.0               | OfOK7SjmrN4KFUqlDylX-Up77SM= |
| qwen3-4b                              | [Qwen/Qwen3-4B](https://huggingface.co/Qwen/Qwen3-4B)                                                                       | 4.2B              |        4199546880 |     4199546880 |             36 |            32 |          2560 |        151936 | silu              | rotary                          | False                   | Qwen3ForCausalLM               | RMS                      | Qwen/Qwen3-4B                               | Qwen2TokenizerFast      | 151643.0               | OfOK7SjmrN4KFUqlDylX-Up77SM= |
| qwen3-8b                              | [Qwen/Qwen3-8B](https://huggingface.co/Qwen/Qwen3-8B)                                                                       | 7.9B              |        7851737088 |     7851737088 |             36 |            32 |          4096 |        151936 | silu              | rotary                          | False                   | Qwen3ForCausalLM               | RMS                      | Qwen/Qwen3-8B                               | Qwen2TokenizerFast      | 151643.0               | OfOK7SjmrN4KFUqlDylX-Up77SM= |
| qwen3-14b                             | [Qwen/Qwen3-14B](https://huggingface.co/Qwen/Qwen3-14B)                                                                     | 15B               |       14889779200 |    14889779200 |             40 |            40 |          5120 |        151936 | silu              | rotary                          | False                   | Qwen3ForCausalLM               | RMS                      | Qwen/Qwen3-14B                              | Qwen2TokenizerFast      | 151643.0               | OfOK7SjmrN4KFUqlDylX-Up77SM= |
| phi-1                                 | [microsoft/phi-1](https://huggingface.co/microsoft/phi-1)                                                                   | 1.2B              |        1207959552 |     1207959552 |             24 |            32 |          2048 |         51200 | gelu_new          | rotary                          | True                    | PhiForCausalLM                 | LN                       | microsoft/phi-1                             | CodeGenTokenizer        | 50257.0                | TYk6J3OrqdU2F7JYiSfFXtd-vB4= |
| phi-1_5                               | [microsoft/phi-1_5](https://huggingface.co/microsoft/phi-1_5)                                                               | 1.2B              |        1207959552 |     1207959552 |             24 |            32 |          2048 |         51200 | gelu_new          | rotary                          | True                    | PhiForCausalLM                 | LN                       | microsoft/phi-1_5                           | CodeGenTokenizer        | 50257.0                | TYk6J3OrqdU2F7JYiSfFXtd-vB4= |
| phi-2                                 | [microsoft/phi-2](https://huggingface.co/microsoft/phi-2)                                                                   | 2.5B              |        2516582400 |     2516582400 |             32 |            32 |          2560 |         51200 | gelu_new          | rotary                          | True                    | PhiForCausalLM                 | LN                       | microsoft/phi-2                             | CodeGenTokenizer        | 50257.0                | TYk6J3OrqdU2F7JYiSfFXtd-vB4= |
| phi-3                                 | [microsoft/Phi-3-mini-4k-instruct](https://huggingface.co/microsoft/Phi-3-mini-4k-instruct)                                 | 3.6B              |        3623878656 |     3623878656 |             32 |            32 |          3072 |         32064 | silu              | rotary                          | False                   | Phi3ForCausalLM                | RMS                      | microsoft/Phi-3-mini-4k-instruct            | LlamaTokenizer          | 32000.0                | 2BcGXsWoZjuOkMtb6uTbGL68fbc= |
| phi-4                                 | [microsoft/phi-4](https://huggingface.co/microsoft/phi-4)                                                                   | 15B               |       15204352000 |    15204352000 |             40 |            40 |          5120 |        100352 | silu              | rotary                          | False                   | Phi3ForCausalLM                | RMS                      | microsoft/phi-4                             | GPT2Tokenizer           | 100352.0               | uJZqWk6gqn6tO_nlSJEZsP9MITQ= |
| apertus-8b                            | [swiss-ai/Apertus-8B-2509](https://huggingface.co/swiss-ai/Apertus-8B-2509)                                                 | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |        131072 | xielu             | rotary                          | False                   | ApertusForCausalLM             | RMS                      | swiss-ai/Apertus-8B-2509                    | PreTrainedTokenizerFast | 131072.0               | C46N1vCQdy2ADcCzoHO1wqva-9w= |
| apertus-8b-instruct                   | [swiss-ai/Apertus-8B-Instruct-2509](https://huggingface.co/swiss-ai/Apertus-8B-Instruct-2509)                               | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |        131072 | xielu             | rotary                          | False                   | ApertusForCausalLM             | RMS                      | swiss-ai/Apertus-8B-Instruct-2509           | PreTrainedTokenizerFast | 131072.0               | oobelwCFf_zbL7nyblhjYJWtf6c= |
| gemma-2b                              | [google/gemma-2b](https://huggingface.co/google/gemma-2b)                                                                   | 2.1B              |        2113929216 |     2113929216 |             18 |             8 |          2048 |        256000 | gelu_new          | rotary                          | False                   | GemmaForCausalLM               | RMS                      | google/gemma-2b                             | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-7b                              | [google/gemma-7b](https://huggingface.co/google/gemma-7b)                                                                   | 7.8B              |        7751073792 |     7751073792 |             28 |            16 |          3072 |        256000 | gelu_new          | rotary                          | False                   | GemmaForCausalLM               | RMS                      | google/gemma-7b                             | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-2b-it                           | [google/gemma-2b-it](https://huggingface.co/google/gemma-2b-it)                                                             | 2.1B              |        2113929216 |     2113929216 |             18 |             8 |          2048 |        256000 | gelu_new          | rotary                          | False                   | GemmaForCausalLM               | RMS                      | google/gemma-2b-it                          | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-7b-it                           | [google/gemma-7b-it](https://huggingface.co/google/gemma-7b-it)                                                             | 7.8B              |        7751073792 |     7751073792 |             28 |            16 |          3072 |        256000 | gelu_new          | rotary                          | False                   | GemmaForCausalLM               | RMS                      | google/gemma-7b-it                          | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
